genre_ids,popularity,release_date,title,year,pg_rating,imdb_id,runtime,genre,imdb_rating,votes,gross_us,month
"['Drama', 'Crime']",43.166,1994-09-23,The Shawshank Redemption,1994,R,111161,142,Drama,9.3,2353109,28.34,9
"['Drama', 'Crime']",37.301,1972-03-14,The Godfather,1972,R,68646,175,"Crime, Drama",9.2,1628373,134.97,3
"['Drama', 'History', 'War']",27.598,1993-11-30,Schindler's List,1993,R,108052,195,"Biography, Drama, History",8.9,1218144,96.9,11
"['Romance', 'Animation', 'Drama']",108.69,2016-08-26,Your Name.,2016,PG,5311514,106,"Animation, Drama, Fantasy",8.4,197768,5.02,8
"['Drama', 'Crime']",29.973,1974-12-20,The Godfather: Part II,1974,R,71562,202,"Crime, Drama",9.0,1134978,57.3,12
"['Animation', 'Family', 'Fantasy']",54.282,2001-07-20,Spirited Away,2001,PG,245429,125,"Animation, Adventure, Family",8.6,655442,10.06,7
"['Comedy', 'Thriller', 'Drama']",152.609,2019-05-30,Parasite,2019,R,6751668,132,"Comedy, Drama, Thriller",8.6,565186,53.37,5
"['Fantasy', 'Drama', 'Crime']",40.079,1999-12-10,The Green Mile,1999,R,120689,189,"Crime, Drama, Fantasy",8.6,1153309,136.8,12
"['Thriller', 'Crime']",43.495,1994-09-10,Pulp Fiction,1994,R,110912,154,"Crime, Drama",8.9,1834079,107.93,9
"['Comedy', 'Drama']",35.865,1997-12-20,Life Is Beautiful,1997,PG-13,118799,116,"Comedy, Drama, Romance",8.6,626485,57.6,12
['Drama'],19.167,1957-04-10,12 Angry Men,1957,Approved,50083,96,"Crime, Drama",9.0,693432,4.36,4
"['Drama', 'Action', 'Crime', 'Thriller']",66.327,2008-07-16,The Dark Knight,2008,PG-13,468569,152,"Action, Crime, Drama",9.0,2312777,534.86,7
"['Comedy', 'Drama', 'Romance']",35.922,1994-07-06,Forrest Gump,1994,PG-13,109830,142,"Drama, Romance",8.8,1818171,330.25,7
"['Adventure', 'Fantasy', 'Action']",64.529,2003-12-01,The Lord of the Rings: The Return of the King,2003,PG-13,167260,201,"Action, Adventure, Drama",8.9,1648942,377.85,12
"['Drama', 'Romance']",16.117,1988-11-17,Cinema Paradiso,1988,R,95765,155,"Drama, Romance",8.5,231978,11.99,11
['Western'],22.647,1966-12-23,"The Good, the Bad and the Ugly",1966,R,60196,178,Western,8.8,691045,6.1,12
"['Drama', 'Crime']",19.46,1984-05-23,Once Upon a Time in America,1984,R,87843,229,"Crime, Drama",8.4,312931,5.32,5
"['Action', 'Drama']",16.169,1954-04-26,Seven Samurai,1954,Not Rated,47478,207,"Action, Adventure, Drama",8.6,316958,0.27,4
