,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
0,Star Wars: Episode VII - The Force Awakens,(2015),PG-13,tt2488496,138 min,"
Action, Adventure, Sci-Fi            ",80        ,7.9,"863,193",$936.66M
1,Avengers: Endgame,(2019),PG-13,tt4154796,181 min,"
Action, Adventure, Drama            ",78        ,8.4,"821,060",$858.37M
2,Avatar,(2009),PG-13,tt0499549,162 min,"
Action, Adventure, Fantasy            ",83        ,7.8,"1,121,733",$760.51M
3,Avengers: Infinity War,(2018),PG-13,tt4154756,149 min,"
Action, Adventure, Sci-Fi            ",68        ,8.4,"841,860",$678.82M
4,Titanic,(1997),PG-13,tt0120338,194 min,"
Drama, Romance            ",75        ,7.8,"1,050,317",$659.33M
5,The Avengers,(2012),PG-13,tt0848228,143 min,"
Action, Adventure, Sci-Fi            ",69        ,8.0,"1,264,481",$623.28M
6,Incredibles 2,(2018),PG,tt3606756,118 min,"
Animation, Action, Adventure            ",80        ,7.6,"251,753",$608.58M
7,The Dark Knight,(2008),PG-13,tt0468569,152 min,"
Action, Crime, Drama            ",84        ,9.0,"2,312,777",$534.86M
8,Rogue One: A Star Wars Story,(2016),PG-13,tt3748528,133 min,"
Action, Adventure, Sci-Fi            ",65        ,7.8,"558,889",$532.18M
9,The Dark Knight Rises,(2012),PG-13,tt1345836,164 min,"
Action, Adventure            ",78        ,8.4,"1,521,749",$448.14M
10,E.T. the Extra-Terrestrial,(1982),PG,tt0083866,115 min,"
Family, Sci-Fi            ",91        ,7.8,"373,646",$435.11M
11,Toy Story 4,(2019),G,tt1979376,100 min,"
Animation, Adventure, Comedy            ",84        ,7.8,"205,233",$434.04M
12,The Lion King,(1994),G,tt0110357,88 min,"
Animation, Adventure, Drama            ",88        ,8.5,"946,319",$422.78M
13,Toy Story 3,(2010),G,tt0435761,103 min,"
Animation, Adventure, Comedy            ",92        ,8.2,"759,809",$415.00M
14,Captain America: Civil War,(2016),PG-13,tt3498820,147 min,"
Action, Adventure, Sci-Fi            ",75        ,7.8,"667,295",$408.08M
15,Jurassic Park,(1993),PG-13,tt0107290,127 min,"
Action, Adventure, Sci-Fi            ",68        ,8.1,"870,879",$402.45M
16,Guardians of the Galaxy Vol. 2,(2017),PG-13,tt3896198,136 min,"
Action, Adventure, Comedy            ",67        ,7.6,"573,181",$389.81M
17,Harry Potter and the Deathly Hallows - Part 2,(2011),PG-13,tt1201607,130 min,"
Adventure, Drama, Fantasy            ",85        ,8.1,"767,942",$381.01M
18,Finding Nemo,(2003),G,tt0266543,100 min,"
Animation, Adventure, Comedy            ",90        ,8.1,"952,766",$380.84M
19,The Lord of the Rings: The Return of the King,(2003),PG-13,tt0167260,201 min,"
Action, Adventure, Drama            ",94        ,8.9,"1,648,942",$377.85M
20,Deadpool,(2016),R,tt1431045,108 min,"
Action, Adventure, Comedy            ",65        ,8.0,"906,318",$363.07M
21,Inside Out,(I) (2015),PG,tt2096673,95 min,"
Animation, Adventure, Comedy            ",94        ,8.1,"620,023",$356.46M
22,The Lord of the Rings: The Two Towers,(2002),PG-13,tt0167261,179 min,"
Action, Adventure, Drama            ",87        ,8.7,"1,491,230",$342.55M
23,Zootopia,(2016),PG,tt2948356,108 min,"
Animation, Adventure, Comedy            ",78        ,8.0,"436,017",$341.27M
24,Joker,(2019),R,tt7286456,122 min,"
Crime, Drama, Thriller            ",59        ,8.4,"950,919",$335.45M
25,Guardians of the Galaxy,(2014),PG-13,tt2015381,121 min,"
Action, Adventure, Comedy            ",76        ,8.0,"1,047,165",$333.18M
26,Forrest Gump,(1994),PG-13,tt0109830,142 min,"
Drama, Romance            ",82        ,8.8,"1,818,171",$330.25M
27,Deadpool 2,(2018),R,tt5463162,119 min,"
Action, Adventure, Comedy            ",66        ,7.7,"482,609",$324.59M
28,Star Wars: Episode IV - A New Hope,(1977),PG,tt0076759,121 min,"
Action, Adventure, Fantasy            ",90        ,8.6,"1,235,791",$322.74M
29,Iron Man,(2008),PG-13,tt0371746,126 min,"
Action, Adventure, Sci-Fi            ",79        ,7.9,"943,286",$318.41M
30,Harry Potter and the Sorcerer's Stone,(2001),PG,tt0241527,152 min,"
Adventure, Family, Fantasy            ",64        ,7.6,"661,618",$317.58M
31,The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,tt0120737,178 min,"
Action, Adventure, Drama            ",92        ,8.8,"1,668,153",$315.54M
32,Thor: Ragnarok,(2017),PG-13,tt3501632,130 min,"
Action, Adventure, Comedy            ",74        ,7.9,"591,822",$315.06M
33,Star Wars: Episode VI - Return of the Jedi,(1983),PG,tt0086190,131 min,"
Action, Adventure, Fantasy            ",58        ,8.3,"953,857",$309.13M
34,Pirates of the Caribbean: Curse of the Black Pearl,(2003),PG-13,tt0325980,143 min,"
Action, Adventure, Fantasy            ",63        ,8.0,"1,017,413",$305.41M
35,Skyfall,(2012),PG-13,tt1074638,143 min,"
Action, Adventure, Thriller            ",81        ,7.7,"631,848",$304.36M
36,The Hobbit: An Unexpected Journey,(2012),PG-13,tt0903624,169 min,"
Adventure, Fantasy            ",58        ,7.8,"759,335",$303.00M
37,Harry Potter and the Half-Blood Prince,(2009),PG,tt0417741,153 min,"
Action, Adventure, Family            ",78        ,7.6,"477,024",$301.96M
38,Harry Potter and the Deathly Hallows: Part 1,(2010),PG-13,tt0926084,146 min,"
Adventure, Family, Fantasy            ",65        ,7.7,"481,336",$295.98M
39,The Sixth Sense,(1999),PG-13,tt0167404,107 min,"
Drama, Mystery, Thriller            ",64        ,8.1,"914,124",$293.51M
40,Up,(2009),PG,tt1049413,96 min,"
Animation, Adventure, Comedy            ",88        ,8.2,"939,436",$293.00M
41,Inception,(2010),PG-13,tt1375666,148 min,"
Action, Adventure, Sci-Fi            ",74        ,8.8,"2,076,678",$292.58M
42,Star Wars: Episode V - The Empire Strikes Back,(1980),PG,tt0080684,124 min,"
Action, Adventure, Fantasy            ",82        ,8.7,"1,163,621",$290.48M
43,Harry Potter and the Goblet of Fire,(2005),PG-13,tt0330373,157 min,"
Adventure, Family, Fantasy            ",81        ,7.7,"550,963",$290.01M
44,"Monsters, Inc.",(2001),G,tt0198781,92 min,"
Animation, Adventure, Comedy            ",79        ,8.1,"818,683",$289.92M
45,Home Alone,(1990),PG,tt0099785,103 min,"
Comedy, Family            ",63        ,7.6,"490,388",$285.76M
46,The Hangover,(2009),R,tt1119646,100 min,"
Comedy            ",73        ,7.7,"719,197",$277.32M
47,Gravity,(2013),PG-13,tt1454468,91 min,"
Drama, Sci-Fi, Thriller            ",96        ,7.7,"771,110",$274.09M
48,Shrek,(2001),PG,tt0126029,90 min,"
Animation, Adventure, Comedy            ",84        ,7.8,"615,691",$267.67M
49,Incredibles,(2004),PG,tt0317705,115 min,"
Animation, Action, Adventure            ",90        ,8.0,"659,118",$261.44M
50,Jaws,(1975),PG,tt0073195,124 min,"
Adventure, Thriller            ",87        ,8.0,"544,675",$260.00M
51,Captain America: The Winter Soldier,(2014),PG-13,tt1843866,136 min,"
Action, Adventure, Sci-Fi            ",70        ,7.7,"739,484",$259.77M
52,The Hobbit: The Desolation of Smaug,(2013),PG-13,tt1170358,161 min,"
Adventure, Fantasy            ",66        ,7.8,"603,178",$258.37M
53,The Lego Movie,(2014),PG,tt1490017,100 min,"
Animation, Action, Adventure            ",83        ,7.7,"324,655",$257.76M
54,Star Trek,(2009),PG-13,tt0796366,127 min,"
Action, Adventure, Sci-Fi            ",82        ,7.9,"578,198",$257.73M
55,The Blind Side,(2009),PG-13,tt0878804,129 min,"
Biography, Drama, Sport            ",53        ,7.6,"294,479",$255.96M
56,Despicable Me,(2010),PG,tt1323594,95 min,"
Animation, Comedy, Crime            ",72        ,7.6,"502,217",$251.51M
57,Harry Potter and the Prisoner of Azkaban,(2004),PG,tt0304141,142 min,"
Adventure, Family, Fantasy            ",82        ,7.9,"554,899",$249.36M
58,Moana,(I) (2016),PG,tt3521164,107 min,"
Animation, Adventure, Comedy            ",81        ,7.6,"274,563",$248.76M
59,Raiders of the Lost Ark,(1981),PG,tt0082971,115 min,"
Action, Adventure            ",85        ,8.4,"886,818",$248.16M
60,Toy Story 2,(1999),G,tt0120363,92 min,"
Animation, Adventure, Comedy            ",88        ,7.9,"529,319",$245.85M
61,Ghostbusters,(1984),PG,tt0087332,105 min,"
Action, Comedy, Fantasy            ",71        ,7.8,"356,413",$238.63M
62,X-Men: Days of Future Past,(2014),PG-13,tt1877832,132 min,"
Action, Adventure, Sci-Fi            ",75        ,7.9,"661,944",$233.92M
63,Cast Away,(2000),PG-13,tt0162222,143 min,"
Adventure, Drama, Romance            ",73        ,7.8,"526,513",$233.63M
64,The Exorcist,(1973),R,tt0070047,122 min,"
Horror            ",81        ,8.0,"363,161",$232.91M
65,Star Trek Into Darkness,(2013),PG-13,tt1408101,132 min,"
Action, Adventure, Sci-Fi            ",72        ,7.7,"463,866",$228.78M
66,The Martian,(2015),PG-13,tt3659388,144 min,"
Adventure, Drama, Sci-Fi            ",80        ,8.0,"763,233",$228.43M
67,The Bourne Ultimatum,(2007),PG-13,tt0440963,115 min,"
Action, Mystery, Thriller            ",85        ,8.0,"605,672",$227.47M
68,Logan,(2017),R,tt3315342,137 min,"
Action, Drama, Sci-Fi            ",77        ,8.1,"651,202",$226.28M
69,WALL-E,(2008),G,tt0910970,98 min,"
Animation, Adventure, Family            ",95        ,8.4,"1,003,790",$223.81M
70,Big Hero 6,(2014),PG,tt2245084,102 min,"
Animation, Action, Adventure            ",74        ,7.8,"412,390",$222.53M
71,Mission: Impossible - Fallout,(2018),PG-13,tt4912910,147 min,"
Action, Adventure, Thriller            ",86        ,7.7,"292,713",$220.16M
72,Beauty And The Beast,(1991),G,tt0101414,84 min,"
Animation, Family, Fantasy            ",95        ,8.0,"418,129",$218.97M
73,How to Train Your Dragon,(2010),PG,tt0892769,98 min,"
Animation, Action, Adventure            ",75        ,8.1,"669,262",$217.58M
74,Aladdin,(1992),G,tt0103639,90 min,"
Animation, Adventure, Comedy            ",86        ,8.0,"374,928",$217.35M
75,Saving Private Ryan,(1998),R,tt0120815,169 min,"
Drama, War            ",91        ,8.6,"1,241,046",$216.54M
76,Bohemian Rhapsody,(2018),PG-13,tt1727824,134 min,"
Biography, Drama, Music            ",49        ,8.0,"454,332",$216.43M
77,A Star Is Born,(2018),R,tt1517451,136 min,"
Drama, Music, Romance            ",88        ,7.6,"337,111",$215.29M
78,300,(2006),R,tt0416449,117 min,"
Action, Drama            ",52        ,7.6,"734,499",$210.61M
79,Back to the Future,(1985),PG,tt0088763,116 min,"
Adventure, Comedy, Sci-Fi            ",87        ,8.5,"1,062,788",$210.61M
80,Coco,(I) (2017),PG,tt2380307,105 min,"
Animation, Adventure, Family            ",81        ,8.4,"388,762",$209.73M
81,Sherlock Holmes,(2009),PG-13,tt0988045,128 min,"
Action, Adventure, Mystery            ",57        ,7.6,"584,560",$209.03M
82,Dawn of the Planet of the Apes,(2014),PG-13,tt2103281,130 min,"
Action, Adventure, Drama            ",79        ,7.6,"412,417",$208.55M
83,Batman Begins,(2005),PG-13,tt0372784,140 min,"
Action, Adventure            ",70        ,8.2,"1,312,835",$206.85M
84,Ratatouille,(2007),G,tt0382932,111 min,"
Animation, Adventure, Comedy            ",96        ,8.0,"644,215",$206.45M
85,Terminator 2: Judgment Day,(1991),R,tt0103064,137 min,"
Action, Sci-Fi            ",75        ,8.5,"998,638",$204.84M
86,Tangled,(2010),PG,tt0398286,100 min,"
Animation, Adventure, Comedy            ",71        ,7.7,"407,322",$200.82M
87,Gone with the Wind,(1939),Passed,tt0031381,238 min,"
Drama, History, Romance            ",97        ,8.1,"291,071",$198.68M
88,Indiana Jones and The Last Crusade,(1989),PG-13,tt0097576,127 min,"
Action, Adventure            ",65        ,8.2,"694,362",$197.17M
89,Toy Story,(1995),G,tt0114709,81 min,"
Animation, Adventure, Comedy            ",95        ,8.3,"891,080",$191.80M
90,Spider-Man: Into the Spider-Verse,(2018),PG,tt4633694,117 min,"
Animation, Action, Adventure            ",87        ,8.4,"379,677",$190.24M
91,Wreck-It Ralph,(2012),PG,tt1772341,101 min,"
Animation, Adventure, Comedy            ",72        ,7.7,"381,450",$189.42M
92,Dunkirk,(2017),PG-13,tt5013056,106 min,"
Action, Drama, History            ",94        ,7.8,"558,627",$188.37M
93,Interstellar,(2014),PG-13,tt0816692,169 min,"
Adventure, Drama, Sci-Fi            ",74        ,8.6,"1,521,545",$188.02M
94,Gladiator,(2000),R,tt0172495,155 min,"
Action, Adventure, Drama            ",67        ,8.5,"1,346,622",$187.71M
95,Dances with Wolves,(1990),PG-13,tt0099348,181 min,"
Adventure, Drama, Western            ",72        ,8.0,"241,089",$184.21M
96,The Fugitive,(1993),PG-13,tt0106977,130 min,"
Action, Crime, Drama            ",87        ,7.8,"268,497",$183.88M
97,The Revenant,(2015),R,tt1663202,156 min,"
Action, Adventure, Drama            ",76        ,8.0,"709,085",$183.64M
98,Ocean's Eleven,(2001),PG-13,tt0240772,116 min,"
Crime, Thriller            ",74        ,7.7,"518,400",$183.42M
99,Rain Man,(1988),R,tt0095953,133 min,"
Drama            ",65        ,8.0,"474,374",$178.80M
100,How to Train Your Dragon 2,(2014),PG,tt1646971,102 min,"
Animation, Action, Adventure            ",76        ,7.8,"306,626",$177.00M
101,The Bourne Supremacy,(2004),PG-13,tt0372183,108 min,"
Action, Mystery, Thriller            ",73        ,7.7,"435,859",$176.24M
102,Get Out,(I) (2017),R,tt5052448,104 min,"
Horror, Mystery, Thriller            ",85        ,7.7,"495,971",$176.04M
103,Apollo 13,(I) (1995),PG,tt0112384,140 min,"
Adventure, Drama, History            ",77        ,7.6,"270,306",$173.84M
104,The Matrix,(1999),R,tt0133093,136 min,"
Action, Sci-Fi            ",73        ,8.7,"1,683,677",$171.48M
105,True Grit,(2010),PG-13,tt1403865,110 min,"
Drama, Western            ",80        ,7.6,"312,868",$171.24M
106,A Beautiful Mind,(2001),PG-13,tt0268978,135 min,"
Biography, Drama            ",72        ,8.2,"852,524",$170.74M
107,The Help,(2011),PG-13,tt1454029,146 min,"
Drama            ",62        ,8.0,"430,104",$169.71M
108,Hidden Figures,(2016),PG,tt4846340,127 min,"
Biography, Drama, History            ",74        ,7.8,"202,017",$169.61M
109,Gone Girl,(2014),R,tt2267998,149 min,"
Drama, Mystery, Thriller            ",79        ,8.1,"864,080",$167.77M
110,Casino Royale,(2006),PG-13,tt0381061,144 min,"
Action, Adventure, Thriller            ",80        ,8.0,"583,691",$167.45M
111,Knives Out,(2019),PG-13,tt8946378,130 min,"
Comedy, Crime, Drama            ",82        ,7.9,"463,611",$165.36M
112,Catch Me If You Can,(2002),PG-13,tt0264464,141 min,"
Biography, Crime, Drama            ",75        ,8.1,"838,146",$164.62M
113,The Pursuit of Happyness,(2006),PG-13,tt0454921,117 min,"
Biography, Drama            ",64        ,8.0,"450,765",$163.57M
114,The Sound of Music,(1965),G,tt0059742,172 min,"
Biography, Drama, Family            ",63        ,8.0,"207,723",$163.21M
