genre_ids,id,original_language,popularity,release_date,title,vote_average,vote_count
"['Romance', 'Comedy']",761053,en,34.985,2020-11-19,Gabriel's Inferno Part III,8.9,703
['Romance'],724089,en,6.76,2020-07-31,Gabriel's Inferno Part II,8.8,1166
"['Comedy', 'Drama', 'Romance']",19404,hi,14.342,1995-10-20,Dilwale Dulhania Le Jayenge,8.8,2643
['Romance'],696374,en,11.163,2020-05-29,Gabriel's Inferno,8.7,1931
"['Drama', 'Crime']",278,en,43.166,1994-09-23,The Shawshank Redemption,8.7,18322
"['Family', 'Adventure', 'Animation', 'Fantasy']",441130,en,24.11,2020-10-26,Wolfwalkers,8.7,249
"['Drama', 'Crime']",238,en,37.301,1972-03-14,The Godfather,8.7,13836
"['Drama', 'History', 'War']",424,en,27.598,1993-11-30,Schindler's List,8.6,11031
"['Romance', 'Animation', 'Drama']",372058,ja,108.69,2016-08-26,Your Name.,8.6,7109
"['Drama', 'Crime']",240,en,29.973,1974-12-20,The Godfather: Part II,8.6,8262
"['Animation', 'Comedy', 'Romance', 'Drama', 'Fantasy']",572154,ja,135.809,2019-06-15,Rascal Does Not Dream of a Dreaming Girl,8.6,222
"['Drama', 'Comedy']",644479,es,49.642,2019-11-01,Dedicated to my ex,8.6,336
"['Animation', 'Family', 'Fantasy']",129,ja,54.282,2001-07-20,Spirited Away,8.5,10933
"['Comedy', 'Thriller', 'Drama']",496243,ko,152.609,2019-05-30,Parasite,8.5,10708
"['Animation', 'Family']",755812,fr,659.419,2020-09-26,"Miraculous World: New York, United HeroeZ",8.5,407
"['Fantasy', 'Drama', 'Crime']",497,en,40.079,1999-12-10,The Green Mile,8.5,11815
"['Music', 'Drama', 'Romance']",630566,en,34.094,2020-10-09,Clouds,8.5,616
"['Adventure', 'Comedy', 'Animation', 'Fantasy']",532067,ja,173.295,2019-08-30,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,8.5,227
"['Thriller', 'Crime']",680,en,43.495,1994-09-10,Pulp Fiction,8.5,20594
"['History', 'Music', 'Drama']",556574,en,18.044,2020-07-03,Hamilton,8.5,625
"['Comedy', 'Drama']",637,it,35.865,1997-12-20,Life Is Beautiful,8.5,9882
['Drama'],389,en,19.167,1957-04-10,12 Angry Men,8.5,5357
"['Drama', 'Action', 'Crime', 'Thriller']",155,en,66.327,2008-07-16,The Dark Knight,8.5,24480
"['Comedy', 'Drama', 'Romance']",13,en,35.922,1994-07-06,Forrest Gump,8.5,19991
"['Adventure', 'Fantasy', 'Action']",122,en,64.529,2003-12-01,The Lord of the Rings: The Return of the King,8.5,17185
"['Drama', 'Romance']",11216,it,16.117,1988-11-17,Cinema Paradiso,8.5,2762
"['Drama', 'Crime']",769,en,26.715,1990-09-12,GoodFellas,8.5,8589
['Western'],429,it,22.647,1966-12-23,"The Good, the Bad and the Ugly",8.4,5706
"['Drama', 'Crime']",311,en,19.46,1984-05-23,Once Upon a Time in America,8.4,3458
"['Action', 'Drama']",346,ja,16.169,1954-04-26,Seven Samurai,8.4,2188
"['Comedy', 'Drama', 'Romance']",522924,en,46.187,2019-08-08,The Art of Racing in the Rain,8.5,750
"['Horror', 'Drama', 'Thriller']",539,en,25.461,1960-06-22,Psycho,8.4,7094
"['Animation', 'Action', 'Fantasy', 'Adventure']",592350,ja,299.942,2019-12-20,My Hero Academia: Heroes Rising,8.4,622
"['Adventure', 'Comedy']",40096,pt,7.38,2000-09-15,A Dog's Will,8.4,719
['Drama'],550,en,42.781,1999-10-15,Fight Club,8.4,21144
['Drama'],510,en,17.527,1975-11-18,One Flew Over the Cuckoo's Nest,8.4,7501
"['Fantasy', 'Action', 'Adventure', 'Animation']",664767,en,959.431,2020-04-12,Mortal Kombat Legends: Scorpion's Revenge,8.4,750
"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Music', 'Action', 'Drama']",537061,en,34.264,2019-09-02,Steven Universe: The Movie,8.4,543
"['Comedy', 'Drama']",42269,it,7.245,1974-12-21,We All Loved Each Other So Much,8.4,309
"['Drama', 'Crime']",598,pt,21.329,2002-02-05,City of God,8.4,4899
"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']",324857,en,81.71,2018-12-06,Spider-Man: Into the Spider-Verse,8.4,9001
"['Fantasy', 'Animation', 'Adventure']",4935,ja,40.944,2004-11-19,Howl's Moving Castle,8.4,6110
"['Animation', 'Drama', 'War']",12477,ja,0.6,1988-04-16,Grave of the Fireflies,8.4,3340
"['Animation', 'Action', 'Adventure', 'Fantasy', 'Science Fiction']",618344,en,53.917,2020-05-05,Justice League Dark: Apokolips War,8.4,878
"['Animation', 'Drama', 'Romance']",378064,ja,92.731,2016-09-17,A Silent Voice: The Movie,8.4,2170
"['Action', 'Drama', 'History']",14537,ja,9.838,1962-09-15,Harakiri,8.4,453
['Comedy'],914,en,16.843,1940-10-23,The Great Dictator,8.4,2204
['Drama'],599,en,13.203,1950-08-10,Sunset Boulevard,8.4,1607
"['Animation', 'Fantasy', 'Romance', 'Drama']",476292,ja,59.556,2018-02-24,Maquia: When the Promised Flower Blooms,8.4,319
"['Adventure', 'Action', 'Science Fiction']",1891,en,28.972,1980-05-20,The Empire Strikes Back,8.4,12646
"['Drama', 'Music']",244786,en,42.871,2014-10-10,Whiplash,8.4,10729
['Drama'],73,en,24.117,1998-10-30,American History X,8.4,8368
['Drama'],3782,ja,10.841,1952-10-09,Ikiru,8.4,631
"['Drama', 'War']",423,en,29.388,2002-09-17,The Pianist,8.4,6084
"['Comedy', 'Drama', 'Romance']",901,en,10.263,1931-02-01,City Lights,8.4,1358
"['Thriller', 'Mystery', 'Drama']",567,en,14.645,1954-09-01,Rear Window,8.4,4280
"['Drama', 'Science Fiction', 'Animation', 'Action']",18491,ja,25.203,1997-07-19,Neon Genesis Evangelion: The End of Evangelion,8.4,708
"['Romance', 'Drama']",527641,en,68.255,2019-03-15,Five Feet Apart,8.4,3960
"['Adventure', 'Fantasy', 'Animation']",128,ja,26.107,1997-07-12,Princess Mononoke,8.3,5401
"['Adventure', 'Fantasy', 'Action']",120,en,73.334,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.3,18654
"['Comedy', 'Family']",640344,it,5.139,2020-01-17,Me contro Te: Il film - La vendetta del Signor S,8.3,390
"['Drama', 'Romance']",447362,en,201.145,2020-11-27,Life in a Year,8.3,212
"['Drama', 'Mystery', 'Crime', 'TV Movie']",452522,en,11.832,1990-04-08,Twin Peaks,8.3,442
"['Drama', 'War']",975,en,13.027,1957-09-18,Paths of Glory,8.3,1792
"['Action', 'Science Fiction', 'Adventure']",27205,en,48.988,2010-07-15,Inception,8.3,28458
"['Crime', 'Drama', 'Mystery', 'Thriller']",12493,ja,8.486,1963-03-01,High and Low,8.3,408
"['Comedy', 'Drama']",3082,en,13.127,1936-02-11,Modern Times,8.3,2499
"['Adventure', 'Fantasy', 'Action']",121,en,61.802,2002-12-18,The Lord of the Rings: The Two Towers,8.3,16088
"['Crime', 'Mystery', 'Thriller']",807,en,34.846,1995-09-22,Se7en,8.3,14695
"['Drama', 'Mystery', 'Thriller']",432517,en,5.94,2017-01-15,Sherlock: The Final Problem,8.3,883
"['Adventure', 'Drama', 'Science Fiction']",157336,en,107.301,2014-11-05,Interstellar,8.3,25111
"['Crime', 'Drama', 'Thriller', 'Horror']",274,en,12.271,1991-02-01,The Silence of the Lambs,8.3,11511
"['Crime', 'Drama', 'Action']",101,en,43.949,1994-09-14,Léon: The Professional,8.3,10546
['Drama'],207,en,18.697,1989-06-02,Dead Poets Society,8.3,7882
"['Science Fiction', 'Adventure']",313106,en,10.548,2013-11-23,Doctor Who: The Day of the Doctor,8.3,592
['Western'],335,it,19.593,1968-12-21,Once Upon a Time in the West,8.3,2888
"['Animation', 'Drama', 'Romance', 'Family']",504253,ja,94.881,2018-09-01,I Want to Eat Your Pancreas,8.3,564
['Comedy'],620683,pt,5.841,2019-12-26,My Mom is a Character 3,8.3,348
['Drama'],18148,ja,12.845,1953-11-03,Tokyo Story,8.3,600
"['Drama', 'Comedy', 'Family']",637920,tr,57.911,2019-10-10,Miracle in Cell No. 7,8.3,3480
"['Crime', 'Drama']",470044,en,22.505,2018-10-19,The Hate U Give,8.3,1467
['Drama'],265177,fr,11.605,2014-05-22,Mommy,8.3,2000
"['Drama', 'Music', 'Romance']",10376,it,12.869,1998-10-28,The Legend of 1900,8.3,1567
"['Thriller', 'Drama', 'Romance']",290098,ko,25.607,2016-06-01,The Handmaiden,8.3,2142
"['Drama', 'Thriller']",26451,it,10.439,1970-10-16,Investigation of a Citizen Above Suspicion,8.3,469
"['Animation', 'Family', 'Adventure', 'Comedy']",508965,en,18.396,2019-11-08,Klaus,8.3,2326
"['Drama', 'Thriller']",16672,ja,8.821,1964-02-15,Woman in the Dunes,8.3,215
"['Adventure', 'Comedy', 'Science Fiction', 'Family']",105,en,41.738,1985-07-03,Back to the Future,8.3,14620
"['Romance', 'Drama']",398818,en,119.308,2017-09-01,Call Me by Your Name,8.3,8713
"['Drama', 'War']",28,en,29.421,1979-08-15,Apocalypse Now,8.3,5571
['Drama'],797,sv,13.968,1966-10-18,Persona,8.3,1282
