,popularity,id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids,backdrop_path,adult,overview,poster_path,Unnamed: 0,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us,month
0,57.28,278,False,17472,8.7,The Shawshank Redemption,1994-09-23,en,The Shawshank Redemption,"['Drama', 'Crime']",/iNh3BivHyg5sQRPP1KOkzguEX0H.jpg,False,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",/5KCVkau1HEl7ZzfPsKAPM0sMiKc.jpg,398,The Shawshank Redemption,1994,R,111161,142,Drama,80.0,9.3,2303591,28.34,9
1,17.364,19404,False,2418,8.7,Dilwale Dulhania Le Jayenge,1995-10-20,hi,दिलवाले दुल्हनिया ले जायेंगे,"['Comedy', 'Drama', 'Romance']",/svYzz6A6xleZv5toTLAhigXd1DX.jpg,False,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,893,Dilwale Dulhania Le Jayenge,1995,Not Rated,112870,181,"Drama, Romance",,8.1,62564,,10
2,48.154,238,False,13224,8.7,The Godfather,1972-03-14,en,The Godfather,"['Drama', 'Crime']",/rSPw7tgCH9c6NqICZef4kZjFOQ5.jpg,False,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,137,The Godfather,1972,R,68646,175,"Crime, Drama",100.0,9.2,1589870,134.97,3
3,31.382,424,False,10522,8.6,Schindler's List,1993-11-30,en,Schindler's List,"['Drama', 'History', 'War']",/loRmRzQXZeqG78TqZuyvSlEQfZb.jpg,False,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,/c8Ass7acuOe4za6DhSattE359gr.jpg,193,Schindler's List,1993,R,108052,195,"Biography, Drama, History",94.0,8.9,1195308,96.9,11
4,130.76,372058,False,6590,8.6,Your Name.,2016-08-26,ja,君の名は。,"['Romance', 'Animation', 'Drama']",/mMtUybQ6hL24FXo0F3Z4j2KG7kZ.jpg,False,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",/q719jXXEzOoYaps6babgKnONONX.jpg,591,Your Name.,2016,PG,5311514,106,"Animation, Drama, Fantasy",79.0,8.4,185261,5.02,8
5,38.426,240,False,7845,8.6,The Godfather: Part II,1974-12-20,en,The Godfather: Part II,"['Drama', 'Crime']",/poec6RqOKY9iSiIUmfyfPfiLtvB.jpg,False,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,266,The Godfather: Part II,1974,R,71562,202,"Crime, Drama",90.0,9.0,1110803,57.3,12
6,57.203,129,False,10361,8.5,Spirited Away,2001-07-20,ja,千と千尋の神隠し,"['Animation', 'Family', 'Fantasy']",/mSDsSDwaP3E7dEfUPWy4J0djt4O.jpg,False,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",/2TeJfUZMGolfDdW6DKhfIWqvq8y.jpg,521,Spirited Away,2001,PG,245429,125,"Animation, Adventure, Family",96.0,8.6,636539,10.06,7
7,142.45,496243,False,9657,8.5,Parasite,2019-05-30,ko,기생충,"['Comedy', 'Thriller', 'Drama']",/ApiBzeaa95TNYliSbQ8pJv4Fje7.jpg,False,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,286,Parasite,2019,R,6751668,132,"Comedy, Drama, Thriller",96.0,8.6,503787,53.37,5
8,34.451,497,False,11187,8.5,The Green Mile,1999-12-10,en,The Green Mile,"['Fantasy', 'Drama', 'Crime']",/5Nz25DPXfQaSpDgce42Y3kFg9G4.jpg,False,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",/velWPhVMQeQKcxggNEU8YmIo52R.jpg,135,The Green Mile,1999,R,120689,189,"Crime, Drama, Fantasy",61.0,8.6,1126275,136.8,12
9,46.579,680,False,19839,8.5,Pulp Fiction,1994-09-10,en,Pulp Fiction,"['Thriller', 'Crime']",/w7RDIgQM6bLT7JXtH4iUQd3Iwxm.jpg,False,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",/plnlrtBUULT0rh3Xsjmpubiso3L.jpg,174,Pulp Fiction,1994,R,110912,154,"Crime, Drama",94.0,8.9,1798243,107.93,9
